OrderNumber,OrderDate,Revenue
SO - 000176,2018-06-09,13844.880000000003
SO - 000177,2018-06-09,4805.575
SO - 000178,2018-06-09,1125.6000000000001
SO - 000179,2018-06-09,966.8100000000001
SO - 000180,2018-06-09,25241.58
SO - 000181,2018-06-09,8866.445
SO - 000182,2018-06-10,795.625
SO - 000183,2018-06-10,20693.4525
SO - 000184,2018-06-10,999.3050000000001
SO - 000185,2018-06-10,19609.56
SO - 000186,2018-06-10,5887.625
SO - 000187,2018-06-11,2405.9700000000003
SO - 000188,2018-06-11,6228.32
SO - 000189,2018-06-11,4743.599999999999
SO - 000190,2018-06-11,1294.44
SO - 000191,2018-06-11,16808.96
SO - 000192,2018-06-11,7461.790000000002
SO - 000193,2018-06-11,3907.4400000000005
SO - 000194,2018-06-12,22642.65
SO - 000195,2018-06-12,6497.994999999999
SO - 000196,2018-06-12,1247.54
SO - 000197,2018-06-12,15174.159999999998
SO - 000198,2018-06-12,11743.425
SO - 000199,2018-06-12,4582.8
SO - 000200,2018-06-12,8210.85
SO - 000201,2018-06-12,12841.220000000001
SO - 000202,2018-06-12,8500.960000000001
SO - 000203,2018-06-12,4028.375
SO - 000204,2018-06-13,4558.68
SO - 000205,2018-06-13,21889.570000000003
SO - 000206,2018-06-13,2671.1225
SO - 000207,2018-06-13,11692.170000000002
SO - 000208,2018-06-13,934.65
SO - 000209,2018-06-13,3017.0099999999998
SO - 000210,2018-06-13,6036.03
SO - 000211,2018-06-13,14895.44
SO - 000212,2018-06-13,5987.79
SO - 000213,2018-06-14,1200.6399999999999
SO - 000214,2018-06-14,23400.754999999997
SO - 000215,2018-06-14,4837.4
SO - 000216,2018-06-14,774.6875
SO - 000217,2018-06-14,4612.95
SO - 000218,2018-06-14,6346.240000000001
SO - 000219,2018-06-14,9967.59
SO - 000220,2018-06-14,1171.3275
SO - 000221,2018-06-14,22763.25
SO - 000222,2018-06-14,6371.365
SO - 000223,2018-06-14,12255.64
SO - 000224,2018-06-15,23302.600000000002
SO - 000225,2018-06-15,2249.19
SO - 000226,2018-06-15,2351.7000000000003
SO - 000227,2018-06-15,712.88
SO - 000228,2018-06-15,5652.12
SO - 000229,2018-06-15,4558.680000000001
SO - 000230,2018-06-15,1737.645
SO - 000231,2018-06-15,7599.8099999999995
SO - 000232,2018-06-15,6339.54
SO - 000233,2018-06-15,4871.235
SO - 000234,2018-06-15,4888.32
SO - 000235,2018-06-15,17745.62
SO - 000236,2018-06-15,3399.915
SO - 000237,2018-06-16,5165.7
SO - 000238,2018-06-16,3758.7
SO - 000239,2018-06-16,3475.29
SO - 000240,2018-06-16,6772.36
SO - 000241,2018-06-16,831.47
SO - 000242,2018-06-16,3354.355
SO - 000243,2018-06-16,1559.76
SO - 000244,2018-06-17,22099.28
SO - 000245,2018-06-17,5569.709999999999
SO - 000246,2018-06-17,5467.2
SO - 000247,2018-06-17,19095.0
SO - 000248,2018-06-17,3348.66
SO - 000249,2018-06-17,1514.8700000000001
SO - 000250,2018-06-17,10182.659999999998
SO - 000251,2018-06-17,818.07
SO - 000252,2018-06-18,18629.684999999998
SO - 000253,2018-06-18,1616.7099999999998
SO - 000254,2018-06-18,6543.554999999999
SO - 000255,2018-06-18,840.18
SO - 000256,2018-06-18,1603.98
SO - 000257,2018-06-18,15225.079999999998
SO - 000258,2018-06-18,11031.550000000001
SO - 000259,2018-06-18,2007.99
SO - 000260,2018-06-18,954.75
SO - 000261,2018-06-18,17911.109999999997
SO - 000262,2018-06-18,4090.3500000000004
SO - 000263,2018-06-19,1766.2875000000001
SO - 000264,2018-06-19,6265.840000000001
SO - 000265,2018-06-19,5815.6
SO - 000266,2018-06-19,36051.36
SO - 000267,2018-06-19,5628.0
SO - 000268,2018-06-19,5980.587500000001
SO - 000269,2018-06-19,3039.1200000000003
SO - 000270,2018-06-19,942.02
SO - 000271,2018-06-19,853.5799999999998
SO - 000272,2018-06-20,5535.54
SO - 000273,2018-06-20,7824.929999999999
SO - 000274,2018-06-20,446.22
SO - 000275,2018-06-20,139.35999999999999
SO - 000276,2018-06-20,4009.2800000000007
SO - 000277,2018-06-20,15467.62
SO - 000278,2018-06-20,11617.8
SO - 000279,2018-06-21,2020.385
SO - 000280,2018-06-21,4556.0
SO - 000281,2018-06-21,2847.5
SO - 000282,2018-06-21,1922.23
SO - 000283,2018-06-21,5909.400000000001
SO - 000284,2018-06-21,19502.359999999997
SO - 000285,2018-06-22,3919.5
SO - 000286,2018-06-22,2237.13
SO - 000287,2018-06-22,5628.0
SO - 000288,2018-06-22,2125.91
SO - 000289,2018-06-22,7187.76
SO - 000290,2018-06-22,656.9350000000001
SO - 000291,2018-06-22,15123.24
SO - 000292,2018-06-22,2844.6524999999997
SO - 000293,2018-06-22,14107.519999999999
SO - 000294,2018-06-22,33460.805
SO - 000295,2018-06-23,1646.19
SO - 000296,2018-06-23,4958.0
SO - 000297,2018-06-23,2031.4400000000003
SO - 000298,2018-06-23,3606.945
SO - 000299,2018-06-24,12108.240000000002
SO - 000300,2018-06-24,7638.0
SO - 000301,2018-06-24,15364.440000000002
SO - 000302,2018-06-25,9342.48
SO - 000303,2018-06-25,3735.9199999999996
SO - 000304,2018-06-25,3520.1800000000003
SO - 000305,2018-06-25,12866.010000000002
SO - 000306,2018-06-26,2339.64
SO - 000307,2018-06-26,997.7975000000001
SO - 000308,2018-06-26,4180.8
SO - 000309,2018-06-26,2138.64
SO - 000310,2018-06-26,8401.8
SO - 000311,2018-06-26,2345.67
SO - 000312,2018-06-26,1685.7200000000003
SO - 000313,2018-06-26,1113.875
SO - 000314,2018-06-26,3093.3900000000003
SO - 000315,2018-06-26,16832.41
SO - 000316,2018-06-27,3742.62
SO - 000317,2018-06-27,21319.4
SO - 000318,2018-06-27,7319.75
SO - 000319,2018-06-27,2164.1
SO - 000320,2018-06-27,9572.96
SO - 000321,2018-06-27,1013.7099999999999
SO - 000322,2018-06-27,11155.5
SO - 000323,2018-06-27,16485.35
SO - 000324,2018-06-27,12325.320000000002
SO - 000325,2018-06-27,3775.45
SO - 000326,2018-06-27,1121.7475000000002
SO - 000327,2018-06-27,4524.175
SO - 000328,2018-06-27,496.4699999999999
SO - 000329,2018-06-27,2870.2799999999997
SO - 000330,2018-06-28,5433.029999999999
SO - 000331,2018-06-28,18003.7375
SO - 000332,2018-06-28,290.78
SO - 000333,2018-06-28,5810.910000000001
SO - 000334,2018-06-28,4396.54
SO - 000335,2018-06-28,7222.599999999999
SO - 000336,2018-06-28,47200.159999999996
SO - 000337,2018-06-28,16846.480000000003
SO - 000338,2018-06-28,4871.235000000001
SO - 000339,2018-06-28,8428.6
SO - 000340,2018-06-28,28477.5125
SO - 000341,2018-06-28,14055.929999999998
SO - 000342,2018-06-28,15617.7
SO - 000343,2018-06-29,24288.84
SO - 000344,2018-06-29,2164.1
SO - 000345,2018-06-29,6982.74
SO - 000346,2018-06-29,14817.72
SO - 000347,2018-06-29,7230.639999999999
SO - 000348,2018-06-30,5327.504999999999
SO - 000349,2018-06-30,2156.73
SO - 000350,2018-06-30,3704.43
SO - 000351,2018-06-30,26532.0
SO - 000352,2018-06-30,3159.72
SO - 000353,2018-06-30,991.6
SO - 000354,2018-06-30,3272.28
SO - 000355,2018-06-30,6989.44
SO - 000356,2018-06-30,6645.0599999999995
SO - 000357,2018-06-30,6594.14
SO - 000358,2018-06-30,14639.5
SO - 000359,2018-06-30,5205.900000000001
SO - 000360,2018-06-30,6953.595000000001
SO - 000361,2018-07-01,774.6875
SO - 000362,2018-07-01,954.415
SO - 000363,2018-07-01,8109.679999999999
SO - 000364,2018-07-01,3424.37
SO - 000365,2018-07-01,4837.4
SO - 000366,2018-07-01,16574.46
SO - 000367,2018-07-01,22136.800000000003
SO - 000368,2018-07-02,28297.785
SO - 000369,2018-07-02,27814.38
SO - 000370,2018-07-02,5421.64
SO - 000371,2018-07-02,1628.1
SO - 000372,2018-07-02,2596.92
SO - 000373,2018-07-02,797.3
SO - 000374,2018-07-02,942.02
SO - 000375,2018-07-02,1896.435
SO - 000376,2018-07-03,26064.675
SO - 000377,2018-07-03,8299.96
SO - 000378,2018-07-04,3513.48
SO - 000379,2018-07-04,7739.839999999999
SO - 000380,2018-07-04,10017.840000000002
SO - 000381,2018-07-04,1322.58
SO - 000382,2018-07-04,10691.189999999999
SO - 000383,2018-07-04,795.625
SO - 000384,2018-07-04,7357.94
SO - 000385,2018-07-04,49697.92
SO - 000386,2018-07-04,922.5899999999999
SO - 000387,2018-07-04,2532.6
SO - 000388,2018-07-04,2900.4300000000003
SO - 000389,2018-07-04,1139.0
SO - 000390,2018-07-04,7963.7875
SO - 000391,2018-07-05,1827.0900000000001
SO - 000392,2018-07-05,309.875
SO - 000393,2018-07-05,5174.9125
SO - 000394,2018-07-05,3160.7250000000004
SO - 000395,2018-07-05,6295.320000000001
SO - 000396,2018-07-05,13137.359999999999
SO - 000397,2018-07-05,8230.28
SO - 000398,2018-07-05,13595.639999999998
SO - 000399,2018-07-05,1238.1599999999999
SO - 000400,2018-07-06,37960.85999999999
SO - 000401,2018-07-06,726.9499999999999
SO - 000402,2018-07-06,13576.88
SO - 000403,2018-07-06,6946.560000000001
SO - 000404,2018-07-06,24481.8
SO - 000405,2018-07-06,9567.6
SO - 000406,2018-07-06,3346.65
SO - 000407,2018-07-07,1289.75
SO - 000408,2018-07-07,14397.630000000001
SO - 000409,2018-07-07,1078.365
SO - 000410,2018-07-07,29351.36
SO - 000411,2018-07-07,4325.5199999999995
SO - 000412,2018-07-08,5112.9375
SO - 000413,2018-07-08,12564.51
SO - 000414,2018-07-08,6594.14
SO - 000415,2018-07-08,18363.024999999998
SO - 000416,2018-07-08,6289.29
SO - 000417,2018-07-08,471.01
SO - 000418,2018-07-08,2110.5
SO - 000419,2018-07-08,6224.969999999999
SO - 000420,2018-07-08,3946.2999999999997
SO - 000421,2018-07-08,8155.24
SO - 000422,2018-07-09,3411.64
SO - 000423,2018-07-09,31014.97
SO - 000424,2018-07-09,725.6099999999999
SO - 000425,2018-07-09,14526.94
SO - 000426,2018-07-09,8393.76
SO - 000427,2018-07-09,3280.3199999999997
SO - 000428,2018-07-09,954.75
SO - 000429,2018-07-09,12780.92
SO - 000430,2018-07-09,7026.96
SO - 000431,2018-07-09,21418.56
SO - 000432,2018-07-09,5909.400000000001
SO - 000433,2018-07-10,9519.36
SO - 000434,2018-07-10,16745.645
SO - 000435,2018-07-11,8726.415
SO - 000436,2018-07-11,841.5200000000001
SO - 000437,2018-07-11,1776.84
SO - 000438,2018-07-11,35020.229999999996
SO - 000439,2018-07-11,13844.880000000003
SO - 000440,2018-07-11,10802.242499999998
SO - 000441,2018-07-11,916.56
SO - 000442,2018-07-11,24527.36
SO - 000443,2018-07-11,5402.88
SO - 000444,2018-07-11,1062.955
SO - 000445,2018-07-11,1374.84
SO - 000446,2018-07-11,5613.93
SO - 000447,2018-07-11,19547.92
SO - 000448,2018-07-12,4448.8
SO - 000449,2018-07-12,1018.4
SO - 000450,2018-07-12,2993.3925000000004
SO - 000451,2018-07-12,35183.207500000004
SO - 000452,2018-07-12,29686.359999999997
SO - 000453,2018-07-12,8360.26
SO - 000454,2018-07-12,3086.3550000000005
SO - 000455,2018-07-12,4048.1399999999994
SO - 000456,2018-07-12,10337.429999999998
SO - 000457,2018-07-12,10205.440000000002
SO - 000458,2018-07-12,7084.244999999999
SO - 000459,2018-07-12,16746.314999999995
SO - 000460,2018-07-12,4796.865
SO - 000461,2018-07-13,14563.119999999999
SO - 000462,2018-07-13,973.8449999999999
SO - 000463,2018-07-13,6899.66
SO - 000464,2018-07-13,7102.335
SO - 000465,2018-07-13,2304.13
SO - 000466,2018-07-13,19716.09
SO - 000467,2018-07-13,4908.42
SO - 000468,2018-07-13,1685.72
SO - 000469,2018-07-13,11306.25
SO - 000470,2018-07-14,14110.2
SO - 000471,2018-07-14,24317.649999999998
SO - 000472,2018-07-14,3272.28
SO - 000473,2018-07-14,11728.35
SO - 000474,2018-07-14,17655.84
SO - 000475,2018-07-14,916.56
SO - 000476,2018-07-15,5346.599999999999
SO - 000477,2018-07-15,4073.6
SO - 000478,2018-07-15,25291.9975
SO - 000479,2018-07-15,4584.474999999999
SO - 000480,2018-07-15,1459.26
SO - 000481,2018-07-15,7281.5599999999995
SO - 000482,2018-07-16,6568.679999999999
SO - 000483,2018-07-16,1642.1699999999998
SO - 000484,2018-07-16,4945.6050000000005
SO - 000485,2018-07-16,15919.2
SO - 000486,2018-07-16,3768.75
SO - 000487,2018-07-16,4404.579999999999
SO - 000488,2018-07-16,10387.68
SO - 000489,2018-07-16,3963.72
SO - 000490,2018-07-16,1559.425
SO - 000491,2018-07-17,7356.599999999999
SO - 000492,2018-07-17,1985.8799999999999
SO - 000493,2018-07-17,3714.48
SO - 000494,2018-07-17,8321.4
SO - 000495,2018-07-17,18254.819999999996
SO - 000496,2018-07-17,10387.68
SO - 000497,2018-07-17,9725.72
SO - 000498,2018-07-17,3146.32
SO - 000499,2018-07-17,512.55
SO - 000500,2018-07-17,3551.67
SO - 000501,2018-07-18,10693.2
SO - 000502,2018-07-18,13507.2
SO - 000503,2018-07-18,5499.359999999999
SO - 000504,2018-07-18,9234.275
SO - 000505,2018-07-18,6218.9400000000005
SO - 000506,2018-07-18,3103.4400000000005
SO - 000507,2018-07-18,33169.02
SO - 000508,2018-07-18,2145.005
SO - 000509,2018-07-19,916.56
SO - 000510,2018-07-19,14675.68
SO - 000511,2018-07-19,3723.5249999999996
SO - 000512,2018-07-19,1519.56
SO - 000513,2018-07-19,14601.310000000001
SO - 000514,2018-07-19,11304.24
SO - 000515,2018-07-19,8230.95
SO - 000516,2018-07-19,15171.48
SO - 000517,2018-07-19,6247.080000000001
SO - 000518,2018-07-20,23677.8
SO - 000519,2018-07-20,3303.4349999999995
SO - 000520,2018-07-20,3371.44
SO - 000521,2018-07-20,3979.8
SO - 000522,2018-07-20,5346.599999999999
SO - 000523,2018-07-20,3815.65
SO - 000524,2018-07-20,830.8000000000001
SO - 000525,2018-07-20,16828.725
SO - 000526,2018-07-21,11366.215000000002
SO - 000527,2018-07-21,7203.84
SO - 000528,2018-07-21,3714.4799999999996
SO - 000529,2018-07-21,14279.04
SO - 000530,2018-07-21,7567.650000000001
SO - 000531,2018-07-21,1113.875
SO - 000532,2018-07-21,4265.555
SO - 000533,2018-07-21,41864.1125
SO - 000534,2018-07-21,223.11
SO - 000535,2018-07-21,1833.12
SO - 000536,2018-07-21,28461.600000000002
SO - 000537,2018-07-22,4735.56
SO - 000538,2018-07-22,1561.77
SO - 000539,2018-07-22,4519.15
SO - 000540,2018-07-22,19896.320000000003
SO - 000541,2018-07-22,13051.935
SO - 000542,2018-07-22,6114.419999999999
SO - 000543,2018-07-22,3093.3900000000003
SO - 000544,2018-07-22,10337.429999999998
SO - 000545,2018-07-22,6282.255
SO - 000546,2018-07-22,3383.8350000000005
SO - 000547,2018-07-22,3892.0300000000007
SO - 000548,2018-07-22,384.245
SO - 000549,2018-07-22,7077.879999999999
SO - 000550,2018-07-22,5101.380000000001
SO - 000551,2018-07-22,18041.76
SO - 000552,2018-07-22,7313.05
SO - 000553,2018-07-22,649.23
SO - 000554,2018-07-23,3103.4400000000005
SO - 000555,2018-07-23,888.42
SO - 000556,2018-07-23,9129.42
SO - 000557,2018-07-23,205.01999999999998
SO - 000558,2018-07-23,14707.84
SO - 000559,2018-07-23,21536.480000000003
SO - 000560,2018-07-23,13460.970000000001
SO - 000561,2018-07-24,9165.6
SO - 000562,2018-07-24,1636.14
SO - 000563,2018-07-24,10616.3175
SO - 000564,2018-07-24,3966.4
SO - 000565,2018-07-24,10616.3175
SO - 000566,2018-07-24,14774.84
SO - 000567,2018-07-24,222.77499999999998
SO - 000568,2018-07-24,14031.14
SO - 000569,2018-07-25,373.86
SO - 000570,2018-07-25,154.9375
SO - 000571,2018-07-25,3587.85
SO - 000572,2018-07-25,12220.8
SO - 000573,2018-07-25,799.4775
SO - 000574,2018-07-25,1782.1999999999998
SO - 000575,2018-07-25,1146.5375000000001
SO - 000576,2018-07-25,9345.83
SO - 000577,2018-07-25,2428.08
SO - 000578,2018-07-25,8940.48
SO - 000579,2018-07-25,6729.4800000000005
SO - 000580,2018-07-26,1519.5600000000002
SO - 000581,2018-07-26,42595.920000000006
SO - 000582,2018-07-26,13856.939999999999
SO - 000583,2018-07-26,2125.91
SO - 000584,2018-07-26,29762.069999999996
SO - 000585,2018-07-26,24146.800000000003
SO - 000586,2018-07-26,4333.5599999999995
SO - 000587,2018-07-26,26803.350000000002
SO - 000588,2018-07-26,22024.24
SO - 000589,2018-07-26,23557.2
SO - 000590,2018-07-26,18195.86
SO - 000591,2018-07-26,28954.72
SO - 000592,2018-07-27,10486.17
SO - 000593,2018-07-27,4715.46
SO - 000594,2018-07-28,170.85
SO - 000595,2018-07-28,1375.8450000000003
SO - 000596,2018-07-28,3666.24
SO - 000597,2018-07-28,15638.805
SO - 000598,2018-07-28,9225.9
SO - 000599,2018-07-29,10102.26
SO - 000600,2018-07-29,672.01
SO - 000601,2018-07-29,5764.68
SO - 000602,2018-07-29,4234.400000000001
SO - 000603,2018-07-29,8490.24
SO - 000604,2018-07-29,4371.75
SO - 000605,2018-07-29,3376.8
SO - 000606,2018-07-29,3832.4
SO - 000607,2018-07-29,28158.76
SO - 000608,2018-07-30,7585.74
SO - 000609,2018-07-30,16789.0275
SO - 000610,2018-07-30,3286.015
SO - 000611,2018-07-30,42823.719999999994
SO - 000612,2018-07-30,2768.775
SO - 000613,2018-07-31,3576.46
SO - 000614,2018-07-31,6811.052500000002
SO - 000615,2018-07-31,1822.4
SO - 000616,2018-07-31,43283.340000000004
SO - 000617,2018-07-31,8379.02
SO - 000618,2018-07-31,7288.259999999999
SO - 000619,2018-07-31,7173.3550000000005
SO - 000620,2018-07-31,8178.02
SO - 000621,2018-07-31,1018.4
SO - 000622,2018-08-01,4066.2299999999996
SO - 000623,2018-08-01,18845.76
SO - 000624,2018-08-01,1447.2
SO - 000625,2018-08-01,1694.43
SO - 000626,2018-08-01,14435.819999999998
SO - 000627,2018-08-01,1578.5199999999998
SO - 000628,2018-08-01,1157.76
SO - 000629,2018-08-01,6395.820000000001
SO - 000630,2018-08-02,13577.55
SO - 000631,2018-08-02,13917.24
SO - 000632,2018-08-02,10188.69
SO - 000633,2018-08-02,996.625
SO - 000634,2018-08-02,1287.07
SO - 000635,2018-08-02,7638.0
SO - 000636,2018-08-03,12144.42
SO - 000637,2018-08-03,18634.04
SO - 000638,2018-08-03,2357.73
SO - 000639,2018-08-03,4385.15
SO - 000640,2018-08-03,879.04
SO - 000641,2018-08-03,3227.0549999999994
SO - 000642,2018-08-03,7026.959999999999
SO - 000643,2018-08-03,5427.0
SO - 000644,2018-08-04,2243.1600000000003
SO - 000645,2018-08-04,4305.419999999999
SO - 000646,2018-08-04,1522.24
SO - 000647,2018-08-04,7103.339999999999
SO - 000648,2018-08-04,11081.13
SO - 000649,2018-08-04,5945.579999999999
SO - 000650,2018-08-04,5824.9800000000005
SO - 000651,2018-08-04,6082.26
SO - 000652,2018-08-04,651.2399999999999
SO - 000653,2018-08-04,5215.95
SO - 000654,2018-08-04,6626.970000000001
SO - 000655,2018-08-04,15222.734999999999
SO - 000656,2018-08-04,8230.949999999999
SO - 000657,2018-08-04,3804.26
SO - 000658,2018-08-04,5314.775
SO - 000659,2018-08-04,19537.2
SO - 000660,2018-08-04,7077.879999999999
SO - 000661,2018-08-04,534.66
SO - 000662,2018-08-04,25899.3525
SO - 000663,2018-08-04,825.775
SO - 000664,2018-08-04,5174.9125
SO - 000665,2018-08-05,3111.4799999999996
SO - 000666,2018-08-05,32957.97
SO - 000667,2018-08-05,4296.375
SO - 000668,2018-08-05,1685.72
SO - 000669,2018-08-05,2904.45
SO - 000670,2018-08-05,6454.109999999999
SO - 000671,2018-08-05,10120.35
SO - 000672,2018-08-05,12177.92
SO - 000673,2018-08-06,16100.1
SO - 000674,2018-08-06,10492.2
SO - 000675,2018-08-06,5875.23
SO - 000676,2018-08-06,22099.28
SO - 000677,2018-08-06,30513.81
SO - 000678,2018-08-06,20600.49
SO - 000679,2018-08-07,6783.75
SO - 000680,2018-08-07,4666.717500000001
SO - 000681,2018-08-07,1292.095
SO - 000682,2018-08-07,9140.14
SO - 000683,2018-08-07,830.8000000000001
SO - 000684,2018-08-07,2058.2400000000002
SO - 000685,2018-08-07,13362.480000000001
SO - 000686,2018-08-07,10680.47
SO - 000687,2018-08-07,8200.800000000001
SO - 000688,2018-08-08,15059.589999999998
SO - 000689,2018-08-08,3183.84
SO - 000690,2018-08-08,3160.7250000000004
SO - 000691,2018-08-08,948.2175
SO - 000692,2018-08-08,15673.98
SO - 000693,2018-08-08,10021.86
SO - 000694,2018-08-08,5354.64
SO - 000695,2018-08-08,27738.0
SO - 000696,2018-08-08,3710.7949999999996
SO - 000697,2018-08-08,4350.9800000000005
SO - 000698,2018-08-08,40678.715000000004
SO - 000699,2018-08-08,5535.54
SO - 000700,2018-08-08,5620.965
SO - 000701,2018-08-09,2460.24
SO - 000702,2018-08-09,27786.239999999998
SO - 000703,2018-08-09,699.48
SO - 000704,2018-08-09,23499.58
SO - 000705,2018-08-09,4148.639999999999
SO - 000706,2018-08-09,5029.0199999999995
SO - 000707,2018-08-09,16321.199999999999
SO - 000708,2018-08-09,422.09999999999997
SO - 000709,2018-08-09,11043.945000000002
SO - 000710,2018-08-10,3104.9474999999998
SO - 000711,2018-08-10,13603.679999999998
SO - 000712,2018-08-10,2386.875
SO - 000713,2018-08-10,7067.16
SO - 000714,2018-08-10,29597.25
SO - 000715,2018-08-10,14551.730000000001
SO - 000716,2018-08-10,14675.68
SO - 000717,2018-08-10,2119.545
SO - 000718,2018-08-10,11034.9
SO - 000719,2018-08-11,25899.3525
SO - 000720,2018-08-11,6742.88
SO - 000721,2018-08-11,26146.08
SO - 000722,2018-08-11,6804.855
SO - 000723,2018-08-11,3394.22
SO - 000724,2018-08-11,4202.240000000001
SO - 000725,2018-08-11,2261.25
SO - 000726,2018-08-12,30475.62
SO - 000727,2018-08-12,6512.400000000001
SO - 000728,2018-08-12,12147.1
SO - 000729,2018-08-12,229.14
SO - 000730,2018-08-12,9755.534999999998
SO - 000731,2018-08-12,11481.119999999999
SO - 000732,2018-08-12,29698.420000000002
SO - 000733,2018-08-12,1018.4
SO - 000734,2018-08-13,6270.195000000001
SO - 000735,2018-08-13,13386.6
SO - 000736,2018-08-13,11495.189999999999
SO - 000737,2018-08-13,20637.675
SO - 000738,2018-08-13,515.565
SO - 000739,2018-08-13,3644.13
SO - 000740,2018-08-13,10374.615
SO - 000741,2018-08-13,4105.425
SO - 000742,2018-08-13,2966.7599999999998
SO - 000743,2018-08-13,14229.460000000001
SO - 000744,2018-08-13,14557.927500000002
SO - 000745,2018-08-13,5499.36
SO - 000746,2018-08-14,2291.4
SO - 000747,2018-08-14,4123.18
SO - 000748,2018-08-14,7523.43
SO - 000749,2018-08-14,5740.5599999999995
SO - 000750,2018-08-14,17058.870000000003
SO - 000751,2018-08-14,24645.28
SO - 000752,2018-08-14,6583.42
SO - 000753,2018-08-14,14995.94
SO - 000754,2018-08-14,5986.785000000001
SO - 000755,2018-08-15,15506.145000000002
SO - 000756,2018-08-15,1865.28
SO - 000757,2018-08-15,827.4499999999999
SO - 000758,2018-08-15,11438.91
SO - 000759,2018-08-15,6377.227500000001
SO - 000760,2018-08-15,10895.205
SO - 000761,2018-08-16,216.91250000000002
SO - 000762,2018-08-16,16337.279999999999
SO - 000763,2018-08-16,3258.88
SO - 000764,2018-08-16,3036.1049999999996
SO - 000765,2018-08-16,6324.8
SO - 000766,2018-08-16,5374.74
SO - 000767,2018-08-16,11113.29
SO - 000768,2018-08-16,1031.13
SO - 000769,2018-08-16,6253.11
SO - 000770,2018-08-16,5957.639999999999
SO - 000771,2018-08-17,5820.29
SO - 000772,2018-08-17,16162.409999999998
SO - 000773,2018-08-17,5499.36
SO - 000774,2018-08-17,9382.68
SO - 000775,2018-08-17,6767.670000000001
SO - 000776,2018-08-17,10693.199999999999
SO - 000777,2018-08-17,2511.495
SO - 000778,2018-08-17,6470.19
SO - 000779,2018-08-17,11628.855
SO - 000780,2018-08-17,10311.300000000001
SO - 000781,2018-08-17,1088.415
SO - 000782,2018-08-17,15490.4
SO - 000783,2018-08-17,17396.55
SO - 000784,2018-08-17,1107.5100000000002
SO - 000785,2018-08-18,6222.290000000001
SO - 000786,2018-08-18,13913.3875
SO - 000787,2018-08-18,2826.06
SO - 000788,2018-08-18,7428.96
SO - 000789,2018-08-18,26198.34
SO - 000790,2018-08-18,14378.2
SO - 000791,2018-08-18,5906.72
SO - 000792,2018-08-18,935.8225000000001
